48842,14,,,,,,,,,,,,,,
A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
34,5,45522,12,9,5,9,2,5,2,0,0,40,40,0
28,3,2.5014e+05,13,14,3,11,6,5,1,0,1902,55,40,0
18,5,1.2028e+05,3,8,5,13,4,5,1,0,0,24,40,0
20,5,2.1697e+05,12,9,5,13,2,5,2,0,0,30,40,0
20,5,1.1679e+05,12,9,5,8,3,5,1,0,0,40,40,0
55,8,26290,9,11,7,5,2,1,1,0,0,38,40,0
22,5,2.1613e+05,16,10,5,13,4,3,1,0,0,40,40,0
60,7,1.4393e+05,13,14,3,5,1,5,2,0,0,40,40,0
40,5,2.1712e+05,1,6,1,4,2,5,2,0,0,50,40,0
47,8,2.2394e+05,16,10,3,2,6,5,1,0,0,30,40,0
23,5,1.8545e+05,10,13,5,5,2,5,1,0,0,35,3,0
57,3,44273,12,9,7,15,2,5,1,0,0,40,40,0
52,5,1.7898e+05,2,7,3,9,1,5,2,0,0,40,40,0
42,5,2.1929e+05,6,4,7,4,5,5,2,0,0,40,40,0
25,5,3.4919e+05,8,12,5,7,4,5,2,0,0,20,40,0
49,6,1.5868e+05,12,9,3,2,6,5,1,0,2377,40,40,1
41,2,57924,16,10,5,12,4,5,2,0,0,40,40,0
40,8,2.7032e+05,9,11,3,9,1,3,2,0,0,30,40,0
38,5,33001,10,13,3,5,1,5,2,0,0,55,40,1
58,5,2.0402e+05,12,9,5,15,4,5,2,0,0,40,3,0
26,5,1.9251e+05,10,13,5,9,2,3,1,0,0,35,40,0
57,5,3.7297e+05,1,6,1,2,3,5,1,0,0,70,12,0
28,5,2.7393e+05,12,9,3,13,1,5,2,0,1628,60,40,0
42,5,1.9582e+05,12,9,6,13,5,5,1,0,0,40,40,0
28,5,56179,16,10,5,5,2,5,2,2174,0,55,40,0
17,1,1.27e+05,7,5,5,1,4,3,2,0,0,40,40,0
39,7,1.2409e+05,7,5,3,4,1,5,2,0,0,40,40,0
28,5,1.996e+05,12,9,3,8,1,3,2,0,0,40,40,0
42,5,2.5585e+05,12,9,3,8,1,5,2,4386,0,48,40,1
51,7,2.1831e+05,16,10,1,13,5,5,1,0,0,50,40,0
27,5,1.6734e+05,16,10,5,2,2,5,1,0,0,39,40,0
41,5,59938,12,9,1,2,5,5,1,0,0,43,40,0
28,5,2.6373e+05,10,13,3,4,1,5,2,0,0,40,40,0
54,7,2.7823e+05,16,10,1,6,5,5,1,10520,0,30,40,1
73,1,1.806e+05,12,9,7,1,2,5,1,0,0,8,40,0
49,5,43910,12,9,3,2,6,5,1,0,0,30,40,0
47,5,1.9014e+05,13,14,3,5,1,5,2,0,0,40,40,1
27,5,1.09e+05,16,10,3,4,1,5,2,0,0,49,40,0
42,3,1.5993e+05,10,13,3,11,6,5,1,0,0,45,40,1
32,5,1.9499e+05,12,9,3,2,6,3,1,0,0,40,40,0
32,3,87310,12,9,3,9,1,5,2,0,0,41,40,0
27,5,1.3394e+05,13,14,5,13,4,5,2,0,0,40,40,0
29,5,2.0706e+05,12,9,3,4,1,5,2,0,0,40,40,1
22,5,36011,9,11,5,11,2,5,2,0,0,30,40,0
41,2,1.6829e+05,12,9,3,2,1,5,2,5178,0,40,40,1
49,3,1.949e+05,16,10,3,7,1,5,2,7298,0,40,40,1
58,7,49884,12,9,3,6,1,5,2,0,0,50,40,0
41,7,27305,12,9,3,6,1,5,2,7688,0,40,40,1
26,5,2.2998e+05,7,5,3,4,1,5,2,0,0,35,40,0
21,5,64520,12,9,5,13,2,5,2,0,0,55,40,0
32,1,1.3489e+05,12,9,3,1,6,5,1,0,0,2,40,1
37,5,3.0538e+05,10,13,3,5,1,5,2,0,0,50,40,1
23,5,2.0228e+05,10,13,5,13,4,5,2,0,0,20,40,0
42,7,99185,16,10,3,5,1,5,2,0,0,40,40,1
25,5,1.5966e+05,12,9,3,13,4,5,2,0,0,26,40,1
67,5,1.9786e+05,16,10,1,2,2,5,1,0,0,40,40,0
41,3,1.7515e+05,12,9,1,15,2,3,1,0,0,38,40,0
49,3,3.4963e+05,13,14,3,11,6,5,1,0,0,50,40,1
36,5,1.3529e+05,10,13,1,11,5,5,1,1506,0,45,1,0
18,5,2.4289e+05,2,7,5,4,4,5,2,0,0,35,40,0
25,5,2.1867e+05,5,3,3,7,4,5,2,0,0,40,40,0
43,8,1.4481e+05,15,15,1,11,2,5,2,0,0,50,40,0
38,5,1.4609e+05,11,16,3,5,6,5,1,99999,0,36,40,1
21,5,2.0686e+05,16,10,5,13,4,5,2,0,0,20,1,0
65,7,2.2622e+05,10,13,3,13,1,5,2,0,0,15,40,0
66,5,1.1445e+05,9,11,7,11,2,5,1,0,0,35,40,0
33,5,1.2419e+05,2,7,5,15,2,3,2,0,0,60,40,0
51,5,1.4795e+05,12,9,3,2,6,3,1,3411,0,38,40,0
27,6,64379,12,9,3,4,1,5,2,0,1740,40,40,0
17,5,1.565e+05,3,8,5,9,4,5,1,0,0,16,40,0
32,5,2.0767e+05,10,13,3,5,1,5,2,15024,0,45,40,1
61,1,1.6128e+05,12,9,7,1,2,5,1,0,0,36,40,0
38,5,2.2571e+05,12,9,3,8,1,5,2,0,0,40,6,1
43,3,1.156e+05,16,10,1,2,5,5,1,0,0,40,40,0
40,8,5.0633e+05,11,16,3,11,1,2,2,0,0,40,37,1
63,5,2.7503e+05,10,13,3,13,1,5,2,0,1740,35,40,0
76,1,1.7264e+05,16,10,3,1,1,5,2,0,0,20,40,1
42,5,56483,8,12,1,2,5,5,1,0,0,40,40,0
43,2,1.4478e+05,10,13,5,5,2,5,2,0,0,40,40,1
76,7,33213,13,14,3,11,1,5,2,0,0,30,1,1
41,3,2.9725e+05,15,15,3,11,1,5,2,0,2415,45,40,1
17,5,1.3704e+05,1,6,5,11,4,5,2,0,0,20,40,0
30,7,33308,12,9,5,4,2,5,2,0,0,40,40,0
30,5,1.5842e+05,10,13,5,11,2,5,2,0,0,50,21,0
22,5,41763,16,10,5,9,2,5,2,0,0,25,40,0
53,1,2.2064e+05,10,13,1,1,3,4,1,0,0,20,40,0
28,5,1.4973e+05,12,9,5,9,5,3,1,0,0,52,40,0
25,1,2.6224e+05,9,11,5,1,4,5,1,3418,0,40,40,0
24,5,3.4969e+05,16,10,5,13,3,3,1,0,0,40,40,0
47,5,1.8538e+05,1,6,3,8,1,5,2,0,0,40,40,1
34,7,1.7446e+05,9,11,5,6,2,5,2,0,0,50,40,0
26,5,2.3607e+05,16,10,5,13,3,5,1,0,0,20,40,0
63,1,4.4517e+05,10,13,7,1,2,1,1,0,0,56,40,0
25,5,91334,9,11,3,5,1,5,2,0,0,75,40,0
28,5,33895,10,13,5,13,2,5,2,0,0,45,40,0
36,5,2.1482e+05,12,9,5,4,2,5,1,0,0,40,40,0
24,5,2.2977e+05,10,13,5,5,2,5,2,0,0,40,40,0
51,6,1.6639e+05,10,13,3,5,6,2,1,0,0,35,37,0
44,5,2.6614e+05,10,13,3,11,1,5,2,0,0,50,40,1
18,5,3.0038e+05,3,8,5,2,4,5,2,0,0,12,40,0
54,2,3.925e+05,16,10,3,11,1,5,2,0,0,40,40,1
61,5,73809,16,10,1,2,2,5,1,0,0,40,40,0
51,5,1.9372e+05,10,13,3,5,1,5,2,0,0,45,40,1
43,5,3.1618e+05,6,4,3,8,1,5,2,0,0,40,40,0
51,5,1.6294e+05,12,9,3,4,1,5,2,0,0,40,40,0
50,3,1.8689e+05,12,9,3,5,6,3,1,0,0,40,40,1
27,1,3.3013e+05,12,9,5,1,2,5,1,0,0,25,40,0
24,5,1.9202e+05,16,10,3,7,1,5,2,0,0,30,40,0
20,8,1.6198e+05,16,10,3,9,1,5,2,0,0,20,40,0
52,5,2.0293e+05,10,13,1,5,2,5,2,0,0,40,40,1
57,3,3.2331e+05,6,4,1,9,2,5,2,0,0,40,40,0
49,6,1.9733e+05,16,10,3,13,1,5,2,0,0,60,40,0
42,6,2.0403e+05,10,13,3,2,6,5,1,0,0,35,1,0
22,5,2.7127e+05,2,7,5,13,2,5,1,0,0,40,40,0
38,5,1.7424e+05,16,10,3,14,1,5,2,0,0,40,40,1
21,5,2.0948e+05,16,10,5,13,4,5,1,0,0,20,40,0
39,2,99146,10,13,3,12,1,5,2,0,1887,60,40,1
52,7,1.0235e+05,16,10,5,11,4,5,1,0,0,35,40,0
25,5,1.8167e+05,8,12,5,14,4,5,1,0,0,40,40,0
50,5,2.0737e+05,16,10,4,9,2,5,1,0,0,40,6,0
35,8,82622,16,10,3,5,1,5,2,0,0,80,40,0
50,5,2.023e+05,9,11,6,11,5,5,1,0,0,40,40,0
58,5,1.4218e+05,12,9,3,4,1,5,2,0,0,25,40,0
48,2,94342,10,13,1,5,2,5,2,0,0,45,40,0
30,5,41493,16,10,1,2,2,5,1,0,0,35,3,0
18,5,1.8171e+05,2,7,5,7,4,5,2,0,0,12,40,0
29,7,1.6461e+05,12,9,3,4,1,5,2,0,0,40,40,0
52,7,41496,16,10,3,13,1,5,2,0,0,45,40,0
63,5,1.431e+05,12,9,3,13,1,5,2,4064,0,40,40,0
36,3,1.9653e+05,13,14,3,11,6,5,1,0,0,40,40,1
24,5,1.5733e+05,16,10,5,8,4,5,1,0,0,42,40,0
30,3,1.5494e+05,8,12,5,12,2,3,2,0,0,40,40,0
23,5,2.2323e+05,12,9,3,8,1,4,2,0,0,40,27,0
35,1,2.5386e+05,12,9,1,1,5,5,1,0,0,20,40,0
21,5,3.6259e+05,10,13,5,9,4,5,1,0,0,20,40,0
28,5,94880,16,10,5,4,2,5,2,0,0,43,27,0
20,5,3.0958e+05,12,9,5,2,4,5,2,0,0,40,40,0
18,5,1.3039e+05,2,7,5,9,4,5,2,0,0,20,35,0
21,5,3.4936e+05,16,10,5,2,4,5,1,0,0,15,40,0
27,5,3.7694e+05,12,9,5,4,2,5,2,0,0,40,40,0
42,5,1.7956e+05,16,10,1,14,2,5,1,0,0,40,40,0
21,5,1.0558e+05,16,10,5,9,4,5,1,0,0,30,40,0
51,5,2.2421e+05,16,10,3,13,1,5,2,0,0,40,40,1
27,2,47907,10,13,5,2,2,5,1,0,0,40,40,0
23,7,1.9128e+05,12,9,5,15,4,5,2,0,0,40,40,0
57,5,20953,16,10,3,13,1,5,2,0,1902,40,40,1
22,8,1.8657e+05,10,13,5,11,4,5,1,0,0,12,40,0
59,5,43221,7,5,3,15,1,5,2,0,0,60,40,1
38,5,1.6114e+05,12,9,1,15,2,5,2,0,0,40,40,0
20,5,2.03e+05,12,9,5,15,3,5,2,0,0,40,40,0
90,5,1.4176e+05,7,5,5,2,2,5,1,0,0,40,40,0
35,5,1.1332e+05,9,11,3,13,1,5,2,0,0,40,40,0
50,5,3.4385e+05,12,9,3,12,1,5,2,0,0,38,40,1
45,5,2.1407e+05,11,16,3,11,1,5,2,0,0,50,40,1
44,5,1.1663e+05,13,14,3,5,1,5,2,0,0,50,40,1
23,5,2.4016e+05,8,12,5,11,4,5,2,0,0,40,40,0
34,5,5.1634e+05,2,7,3,7,1,5,2,0,0,40,27,0
23,6,2.8465e+05,10,13,1,13,2,5,1,0,0,43,40,0
39,8,1.4142e+05,16,10,3,12,1,5,2,0,0,40,40,0
19,5,42750,16,10,5,7,2,5,2,0,0,55,40,0
54,5,1.6528e+05,16,10,3,5,1,5,2,0,0,40,40,1
40,5,1.6726e+05,13,14,1,11,2,5,2,0,0,43,40,0
44,5,1.3991e+05,16,10,5,13,4,5,2,0,0,50,40,0
31,6,2.3642e+05,16,10,3,2,6,5,1,0,0,20,40,1
25,5,3.1297e+05,7,5,6,7,3,5,2,0,0,40,9,0
33,5,1.1894e+05,10,13,3,5,6,5,1,0,0,32,40,1
32,5,1.9807e+05,12,9,5,15,2,5,2,0,0,60,40,0
36,5,3.7395e+05,1,6,3,8,1,5,2,0,0,40,40,0
47,7,2.3611e+05,16,10,3,11,1,4,2,0,0,55,40,1
80,5,1.5778e+05,13,14,7,11,2,5,1,0,0,10,40,0
21,5,1.436e+05,16,10,5,13,4,5,1,0,0,8,40,0
35,7,3.1983e+05,16,10,3,6,1,5,2,0,0,60,40,0
77,1,1.3273e+05,13,14,1,1,2,5,2,0,0,45,40,0
30,5,1.3761e+05,12,9,3,15,1,5,2,5013,0,40,40,0
35,1,61343,12,9,3,1,1,5,2,0,0,40,40,0
49,5,2.6823e+05,6,4,3,7,1,5,2,0,0,40,40,0
33,5,1.0014e+05,12,9,3,2,6,5,1,0,1740,25,40,0
53,7,34973,16,10,3,6,1,5,2,0,0,45,40,0
41,5,3.2379e+05,12,9,1,7,5,5,2,0,0,55,40,0
57,5,3.1973e+05,10,13,3,8,1,5,2,0,0,40,32,1
21,1,1.8034e+05,16,10,5,1,4,5,1,0,0,25,40,0
19,5,1.2559e+05,16,10,5,9,4,5,1,0,0,40,40,0
28,5,60772,10,13,5,5,4,5,1,0,0,45,40,0
42,2,74680,13,14,1,2,2,5,2,0,2001,60,40,0
29,7,1.4118e+05,16,10,3,6,1,5,2,0,0,55,40,0
38,1,2.0467e+05,9,11,6,1,5,5,1,0,0,25,40,0
26,5,2.7379e+05,16,10,5,9,4,5,2,0,0,20,40,0
41,5,70037,16,10,5,4,5,5,2,0,3004,60,1,1
40,5,3.4307e+05,16,10,1,5,2,5,1,0,0,40,40,0
36,7,1.7791e+05,11,16,5,11,2,5,2,0,0,40,40,1
28,5,1.4406e+05,12,9,3,5,1,5,2,0,0,40,40,0
25,7,2.5757e+05,10,13,5,2,2,3,1,0,0,20,40,0
42,7,67065,12,9,3,6,1,5,2,0,0,60,40,0
32,5,1.8336e+05,12,9,5,4,4,5,2,0,0,40,40,0
32,5,1.5294e+05,8,12,5,2,4,5,2,0,0,30,40,0
37,5,2.2713e+05,5,3,3,4,1,5,2,0,0,40,40,0
39,3,45607,12,9,3,12,1,5,2,0,0,56,40,0
49,5,1.5549e+05,10,13,3,4,1,5,2,0,0,40,40,0
28,1,2.307e+05,12,9,5,1,2,3,2,0,0,40,40,0
24,1,2.6796e+05,7,5,5,1,4,5,1,0,0,20,40,0
19,5,1.6512e+05,12,9,5,13,2,5,1,0,0,40,40,0
31,5,49923,12,9,3,15,1,5,2,0,0,40,40,0
40,5,2.7224e+05,12,9,1,8,2,5,1,0,0,40,40,0
29,5,2.5548e+05,6,4,5,7,4,5,2,0,0,30,27,0
59,5,1.9429e+05,12,9,3,6,1,5,2,0,0,48,40,0
52,5,1.4555e+05,8,12,3,12,1,5,2,0,0,40,40,1
27,5,1.7526e+05,10,13,5,5,4,5,2,0,0,40,40,0
45,3,37306,10,13,3,11,1,5,2,0,0,45,40,1
58,5,1.3755e+05,10,13,3,9,1,2,2,0,0,40,36,0
53,5,2.7652e+05,10,13,5,5,4,5,2,0,0,40,6,0
23,5,1.7463e+05,12,9,5,7,4,5,2,0,0,25,40,0
35,5,2.1531e+05,2,7,1,7,3,5,2,0,0,40,40,0
49,5,3.3236e+05,12,9,3,5,1,5,2,0,0,40,40,0
49,5,2.0406e+05,8,12,1,5,2,5,1,0,0,40,40,0
25,5,3.9159e+05,3,8,5,4,2,5,2,0,0,40,40,0
47,5,1.6909e+05,13,14,1,11,5,5,1,0,0,50,40,1
28,5,2.3074e+05,8,12,1,2,2,5,1,0,0,40,40,0
20,5,1.9096e+05,16,10,5,5,2,5,1,0,0,30,40,0
74,1,2.0484e+05,5,3,3,1,1,5,2,0,0,56,27,0
19,5,1.6985e+05,12,9,5,8,4,5,2,0,0,24,40,0
28,5,2.1209e+05,12,9,3,8,1,5,2,2580,0,40,40,0
31,5,2.0282e+05,16,10,1,2,5,3,1,0,0,40,40,0
61,1,2.2699e+05,16,10,4,1,2,5,2,0,0,40,40,0
30,5,1.4001e+05,9,11,3,7,1,5,2,0,0,53,40,0
20,1,4.3238e+05,16,10,5,1,4,5,2,0,0,40,12,0
35,5,90273,6,4,3,8,1,5,2,0,0,40,1,1
23,5,2.2442e+05,10,13,5,9,4,5,2,0,0,40,40,0
25,5,1.6894e+05,10,13,3,5,6,5,1,0,0,30,40,1
19,5,5.7185e+05,12,9,5,9,4,5,2,0,0,30,40,0
30,5,1.5646e+05,13,14,5,11,2,5,2,0,0,45,40,1
26,5,1.0854e+05,12,9,5,4,4,5,2,0,0,35,40,0
34,3,1.9432e+05,12,9,3,15,1,5,2,0,0,45,40,0
49,5,1.148e+05,10,13,1,5,5,3,1,0,0,40,40,0
35,5,40135,16,10,3,7,1,5,2,0,2042,40,40,0
38,5,2.0476e+05,12,9,5,13,4,5,1,0,0,40,40,0
36,5,2.2819e+05,12,9,3,7,1,3,2,0,0,20,40,0
33,5,1.6339e+05,12,9,3,11,1,1,2,0,0,48,40,1
54,5,1.3884e+05,16,10,5,9,2,5,1,0,0,40,40,0
19,3,1.6985e+05,12,9,5,4,4,5,2,0,0,40,40,0
18,4,2.0636e+05,1,6,5,1,4,5,2,0,0,40,40,0
60,5,2.241e+05,12,9,3,4,1,5,2,0,0,40,40,0
28,7,1.6079e+05,12,9,5,4,4,5,2,0,0,40,40,0
43,7,1.9004e+05,12,9,3,13,1,5,2,0,0,40,40,0
49,3,1.4529e+05,5,3,3,9,1,5,2,0,0,40,40,0
25,5,1.2027e+05,10,13,5,11,4,5,2,0,0,70,40,0
17,5,3.2743e+05,1,6,5,13,4,5,2,0,0,20,40,0
41,6,2.183e+05,10,13,3,13,1,5,2,0,0,60,40,1
30,5,1.1846e+06,16,10,3,15,1,3,2,0,0,35,40,0
90,3,2.278e+05,13,14,3,5,1,5,2,20051,0,60,40,1
25,5,2.0634e+05,12,9,5,12,3,5,2,0,0,40,40,0
27,5,36851,9,11,3,13,1,5,2,0,0,35,40,0
29,5,1.4855e+05,12,9,3,4,1,5,2,0,0,40,40,0
55,5,1.5708e+05,16,10,3,12,1,3,2,0,0,40,1,1
31,2,1.4247e+05,10,13,5,5,2,3,1,0,0,40,40,0
43,5,86750,9,11,3,4,1,5,2,0,0,99,40,0
63,5,3.6163e+05,13,14,6,11,2,5,1,0,0,40,40,1
46,5,1.6323e+05,6,4,3,15,1,5,2,0,0,40,40,0
59,5,1.7959e+05,12,9,3,13,1,5,2,0,0,40,40,0
42,5,2.5477e+05,10,13,3,5,6,3,1,0,0,50,40,1
26,5,58065,10,13,5,2,2,5,1,0,0,20,40,0
26,5,2.0543e+05,16,10,3,13,1,5,2,0,0,45,40,0
20,1,41183,16,10,5,1,4,5,1,0,0,30,40,0
19,1,3.0806e+05,12,9,5,1,2,3,1,0,0,40,40,0
61,5,1.7392e+05,7,5,1,7,2,5,2,0,0,40,34,1
23,8,1.4255e+05,12,9,3,5,1,5,2,0,0,40,40,0
24,5,1.197e+05,12,9,3,2,6,5,1,0,0,40,40,0
35,5,2.7536e+05,10,13,1,14,5,5,2,7430,0,40,12,1
42,7,2.0739e+05,12,9,3,13,1,5,2,0,0,12,40,0
31,5,1.4722e+05,3,8,1,9,5,5,1,0,0,21,40,0
31,5,1.0156e+05,12,9,3,8,6,5,1,0,0,55,40,0
63,5,2.1641e+05,10,13,7,2,2,5,1,0,0,25,40,0
29,8,1.8899e+05,9,11,5,14,2,5,1,0,1590,64,40,0
43,8,52849,10,13,3,11,1,5,2,0,0,40,40,0
22,5,3.0471e+05,10,13,5,2,2,2,1,0,0,10,41,0
17,5,2.6566e+05,2,7,5,9,4,5,2,0,0,25,40,0
23,7,2.583e+05,10,13,5,2,4,5,2,0,2231,40,40,1
35,5,3.6081e+05,7,5,1,4,2,5,2,0,0,45,40,0
32,5,53260,12,9,1,9,5,4,1,0,0,28,40,0
50,6,1.2732e+05,10,13,3,5,1,5,2,15024,0,60,40,1
25,5,2.3378e+05,12,9,5,15,3,5,2,0,0,40,1,0
26,3,1.9753e+05,13,14,4,11,2,5,1,0,0,40,40,0
32,5,3.4094e+05,10,13,3,5,1,5,2,0,0,40,40,0
29,5,88432,9,11,3,4,1,5,2,0,0,50,40,0
57,5,1.8381e+05,16,10,3,11,1,5,2,0,0,40,40,1
90,5,51744,13,14,5,5,2,3,2,0,0,50,40,1
35,5,1.7561e+05,9,11,1,11,5,5,1,0,0,40,40,1
31,7,2.3524e+05,16,10,3,13,1,3,2,0,0,60,40,1
60,5,2.2727e+05,12,9,1,13,2,5,1,0,0,33,40,0
21,5,1.465e+05,9,11,3,2,3,5,1,0,1579,40,40,0
71,3,3.3706e+05,13,14,7,11,2,5,1,0,0,40,40,0
22,5,1.41e+05,9,11,5,9,4,5,2,0,0,30,40,0
50,3,1.1779e+05,12,9,1,2,2,5,1,0,0,40,40,0
37,5,1.7285e+05,16,10,3,13,1,5,2,0,0,45,40,1
23,5,73514,12,9,5,2,4,2,1,0,0,40,41,0
74,5,2.1108e+05,12,9,3,9,1,5,2,0,0,30,40,0
67,5,1.9782e+05,16,10,3,13,1,5,2,0,1844,70,40,0
59,5,43221,16,10,3,4,1,5,2,0,0,43,40,1
28,5,1.8378e+05,12,9,3,15,1,5,2,0,1740,40,40,0
45,5,26781,12,9,3,6,1,1,2,0,0,40,40,0
63,7,2.7155e+05,16,10,3,6,1,5,2,0,0,20,40,0
39,5,2.5016e+05,10,13,5,11,2,5,1,0,0,63,40,0
33,8,9.1345e+05,16,10,1,9,5,3,1,0,0,40,40,0
32,5,1.5308e+05,10,13,5,9,2,2,2,0,0,40,36,0
34,5,1.8109e+05,10,13,3,5,1,5,2,0,1977,45,40,1
39,5,2.3149e+05,12,9,5,7,3,5,2,0,0,40,40,0
29,8,95423,13,14,3,2,1,5,2,0,0,36,40,0
22,5,2.3466e+05,12,9,3,8,1,5,2,0,0,40,40,0
53,5,2.836e+05,10,13,1,13,2,5,1,13550,0,43,40,1
46,5,3.2867e+05,9,11,3,4,1,5,2,0,0,42,40,0
51,5,1.4374e+05,16,10,3,9,6,5,1,0,0,40,40,1
44,5,83508,15,15,1,11,2,5,1,2354,0,99,40,0
56,8,81954,12,9,1,2,2,5,1,0,0,40,40,0
27,5,2.6138e+05,10,13,5,2,4,3,1,0,0,40,40,0
52,5,3.1004e+05,7,5,4,8,2,2,1,0,0,30,4,0
39,5,3.1621e+05,10,13,5,11,2,5,2,0,0,40,40,1
45,2,88564,16,10,3,5,1,5,2,7688,0,40,40,1
37,5,61299,16,10,3,4,1,5,2,0,0,45,40,0
33,5,1.1336e+05,12,9,1,2,4,5,2,0,0,40,40,0
35,1,4.7657e+05,12,9,5,1,2,5,1,0,0,4,40,0
46,5,2.6711e+05,5,3,3,4,6,5,1,0,0,45,23,0
35,5,48123,3,8,3,4,6,5,1,0,0,50,40,0
33,5,2.1464e+05,12,9,3,5,1,3,2,0,0,50,40,0
48,5,1.1558e+05,10,13,3,13,1,5,2,0,0,40,40,0
32,5,1.9414e+05,12,9,1,8,4,5,2,0,0,50,40,0
18,1,23233,1,6,5,1,4,5,2,0,0,40,40,0
20,5,89991,16,10,5,9,4,5,1,0,0,32,40,0
35,5,1.0171e+05,12,9,5,15,4,2,2,0,0,60,40,0
19,5,2.3746e+05,12,9,5,7,4,5,1,0,0,25,40,0
21,5,2.0649e+05,12,9,5,13,4,5,1,0,0,40,1,0
56,5,28729,2,7,6,8,2,5,1,0,0,40,40,0
28,5,1.5348e+05,10,13,5,2,4,5,1,0,0,16,9,0
45,5,2.7552e+05,12,9,1,4,5,5,1,0,0,40,40,0
32,5,1.28e+05,9,11,3,2,6,5,1,0,0,45,40,0
44,5,1.7548e+05,10,13,3,4,1,5,2,0,0,12,40,0
55,5,1.8966e+05,12,9,3,11,1,5,2,0,0,40,40,1
34,5,2.0981e+05,16,10,3,2,1,5,2,0,0,40,40,1
33,5,1.7699e+05,13,14,3,11,1,5,2,0,0,40,40,1
36,5,1.5467e+05,10,13,5,5,4,5,2,0,0,55,40,0
25,5,1.9127e+05,12,9,5,2,4,5,1,0,0,40,40,0
28,5,3.7548e+05,10,13,5,13,2,5,2,0,0,40,40,0
39,5,1.0295e+05,10,13,3,13,1,5,2,7298,0,55,40,1
53,5,1.6918e+05,1,6,4,8,2,5,1,0,0,40,5,0
47,5,1.8400e+05,12,9,1,5,2,1,1,3325,0,45,40,0
49,6,30751,9,11,1,5,2,5,2,0,0,60,40,0
22,5,1.4548e+05,12,9,5,7,4,1,2,0,0,40,40,0
31,5,91964,16,10,5,2,3,5,2,0,0,40,40,0
44,6,49249,16,10,1,9,5,5,2,0,0,80,40,0
19,5,2.1896e+05,12,9,5,11,4,5,2,0,0,40,40,0
37,7,2.4131e+05,12,9,1,4,2,5,2,0,0,40,40,0
60,1,2.5157e+05,12,9,7,1,2,5,2,0,0,35,32,0
23,5,3.1984e+05,16,10,5,7,4,5,2,0,0,25,40,0
44,5,3.324e+05,15,15,3,11,1,5,2,99999,0,65,40,1
54,3,1.8239e+05,12,9,3,9,6,5,1,0,0,35,40,0
23,5,2.0594e+05,12,9,3,4,1,5,2,0,0,38,40,0
21,5,2.0391e+05,16,10,5,9,4,5,1,0,0,10,40,0
19,8,1.5629e+05,16,10,5,11,4,5,2,0,0,25,40,0
51,5,2.5421e+05,10,13,3,4,1,5,2,0,0,20,40,1
41,5,1.515e+05,10,13,3,5,1,5,2,7688,0,50,40,1
61,5,85548,16,10,3,14,1,5,2,15024,0,18,40,1
19,7,30800,1,6,4,2,5,1,1,0,0,40,40,0
22,5,1.3123e+05,10,13,5,13,4,5,2,0,0,40,40,0
22,5,61850,12,9,5,9,2,5,1,0,0,40,40,0
49,5,2.278e+05,6,4,3,11,1,5,2,0,0,32,40,0
35,5,1.3345e+05,1,6,1,8,2,5,2,0,0,50,40,0
38,5,1.0409e+05,16,10,3,13,1,5,2,0,0,40,40,0
29,5,1.0542e+05,12,9,3,11,1,5,2,0,0,40,40,1
56,5,1.4218e+05,9,11,3,4,1,5,2,0,0,45,40,1
41,5,3.3664e+05,16,10,1,5,2,5,1,0,0,80,40,0
62,6,2.0058e+05,13,14,3,13,1,5,2,0,0,45,40,1
27,5,2.087e+05,12,9,5,12,4,5,2,0,0,40,25,0
55,1,1.939e+05,12,9,1,1,2,5,1,0,0,40,10,0
25,5,2.7243e+05,12,9,5,13,2,5,2,4416,0,42,40,0
33,5,56701,10,13,3,11,1,5,2,15024,0,75,40,1
26,5,2.8859e+05,12,9,5,2,2,5,1,0,0,40,40,0
43,5,2.6644e+05,12,9,1,8,2,5,2,0,0,45,40,0
53,2,2.7687e+05,13,14,3,2,1,5,2,0,0,40,40,1
43,5,1.3144e+05,10,13,1,9,2,5,1,0,0,40,40,0
56,5,1.7513e+05,12,9,1,4,5,5,2,0,0,35,40,0
25,5,2.7744e+05,10,13,3,13,1,5,2,0,0,50,40,0
60,5,63296,13,14,1,11,3,3,2,0,0,40,40,0
28,5,96337,16,10,5,2,2,5,1,0,0,40,40,0
21,5,2.2196e+05,12,9,5,8,5,5,2,0,0,40,27,0
40,5,1.9792e+05,10,13,5,2,5,3,1,2977,0,40,40,0
29,5,6.3259e+05,12,9,3,4,1,3,2,0,0,40,40,0
20,5,2.0597e+05,16,10,5,4,4,5,1,0,0,25,40,0
25,5,1.3973e+05,12,9,3,4,1,5,2,0,0,80,40,1
18,5,2.019e+05,2,7,5,13,4,5,1,0,0,10,40,0
32,8,2.3022e+05,8,12,3,9,1,5,2,0,0,35,40,0
27,5,1.1346e+05,4,2,5,9,4,4,2,0,0,35,7,0
48,5,94461,12,9,7,8,2,5,1,0,0,16,40,0
20,5,2.7138e+05,16,10,5,13,4,5,1,0,0,25,40,0
55,5,2.3174e+05,12,9,1,13,2,5,1,0,0,40,10,0
33,3,1.9818e+05,10,13,5,11,2,5,1,0,0,50,40,1
21,8,1.4076e+05,16,10,5,2,4,5,1,0,0,12,40,0
43,7,1.8348e+05,12,9,3,4,1,5,2,0,0,30,40,0
35,5,1.6577e+05,16,10,3,8,1,5,2,0,0,40,40,0
